
HKDRUB_TOM,D,20150226,7.82,7.82,7.723,7.8,2000000
KZT000000TOM,D,20150226,32.8,32.8,32.8,32.8,1520000
UAH000000TOM,D,20150226,18.685,18.685,18.685,18.685,1880000
USD000000TOD,D,20150226,61.091,61.202,59.75,60.874,1711889000
USD000TODTOM,D,20150226,0.024,0.0272,0.024,0.0255,7092000000
USD000UTSTOM,D,20150226,61.171,61.388,59.601,61.15,4688119000
USDRUB_SPT,D,20150226,60.925,60.925,60.925,60.925,15000
USDRUB_TOM1D,D,20150226,0.082,0.088,0.0819,0.088,149000000
USDRUB_TOM1M,D,20150226,0.687,0.705,0.687,0.705,1000000
USDRUB_TOM1W,D,20150226,0.1819,0.1819,0.1819,0.1819,1600000
USDRUB_TOM1Y,D,20150226,,,,,
USDRUB_TOM2M,D,20150226,1.44,1.5,1.44,1.49,92000000
USDRUB_TOM2W,D,20150226,0.355,0.36,0.355,0.36,11800000
USDRUB_TOM3M,D,20150226,,,,,
USDRUB_TOM6M,D,20150226,,,,,
USDRUB_TOM9M,D,20150226,,,,,
BYRRUB_TOD,D,20150227,41.8,41.8,41.8,41.8,5000000
BYRRUB_TOM,D,20150227,40.5,40.5,40.5,40.5,37000000
CNY000000TOD,D,20150227,9.78,9.78,9.7225,9.7228,19433000
CNYRUBTODTOM,D,20150227,0.009955,0.011113,0.009955,0.011113,1300000
CNYRUB_TOM,D,20150227,9.7941,9.83,9.6808,9.83,279145000
CNYRUB_TOM1D,D,20150227,0.00246,0.00381,0.00246,0.00381,91500000
EUR000TODTOM,D,20150227,0.088,0.0889,0.085,0.0855,2106500000
EURRUB_SPT,D,20150227,,,,,
EURRUB_TOM2W,D,20150227,,,,,
EURUSD000TOD,D,20150227,1.1206,1.13,1.1206,1.123,11283000
EURUSD000TOM,D,20150227,1.12055,1.1246,1.118,1.1188,24113000
EURUSDTODTOM,D,20150227,0.000029,0.00005,0.000029,0.00004,294800000
EUR_RUB__TOD,D,20150227,68.525,69.054,68.24,68.77,233928000
EUR_RUB__TOM,D,20150227,68.536,69.696,68.321,68.901,331720000
GBPRUB_TOM,D,20150227,94.82,95.5,94.14,95.5,240000
HKDRUB_TOM,D,20150227,,,,,
KZT000000TOM,D,20150227,,,,,
UAH000000TOM,D,20150227,18.681,18.681,18.681,18.681,336000
USD000000TOD,D,20150227,61.088,66.33,55.36,61.877,2117554000
USD000TODTOM,D,20150227,0.0774,0.09,0.0752,0.08,9265900000
